genus+species,count
Chryseobacterium Indologenes,104
Staphylococcus Caprae,104
Kluyvera Ascorbata,105
Slackia Exigua,106
Pseudomonas Plecoglossicida,108
Burkholderia Cepacia,109
Prevotella Intermedia,111
Lactobacillus Paracasei,113
Capnocytophaga Sputigena,113
Pseudoglutamicibacter Cumminsii,118
Enterobacter Aerogenes,118
Yersinia Enterocolitica,120
Candida Guilliermondii,121
Clavispora Lusitaniae,123
Peptoniphilus Sp,123
Enterococcus Gallinarum,124
Enterococcus Raffinosus,124
Staphylococcus Pettenkoferi,125
Corynebacterium Pseudodiphtheriticum,127
Dermabacter Hominis,129
Corynebacterium Urealyticum,130
Corynebacterium Propinquum,131
Corynebacterium Accolens,133
Prevotella Bivia,134
Bacteroides Ovatus,135
Proteus Hauseri,138
Fusobacterium Necrophorum,144
Fusobacterium Nucleatum,146
Mycobacterium Avium,147
Elizabethkingia Miricola,152
Saccharomyces Cerevisiae,153
Propionibacterium Acnes,154
Enterococcus Avium,155
Staphylococcus Pasteuri,162
Candida Lusitaniae,165
Pseudomonas Putida,172
Eikenella Corrodens,173
Bacteroides Vulgatus,177
Anaerococcus Vaginalis,179
Streptococcus Dysgalactiae,180
Eggerthella Lenta,184
Pichia Kudriavzevii,189
Clostridium Perfringens,192
Streptococcus Vestibularis,194
Candida Dubliniensis,200
Bacteroides Thetaiotaomicron,200
Staphylococcus Warneri,204
Acinetobacter Pittii,208
Neisseria Subflava,209
Aerococcus Sanguinicola,211
Lactobacillus Jensenii,213
Achromobacter Xylosoxidans,213
Streptococcus Intermedius,238
Staphylococcus Condimenti,247
Gardnerella Vaginalis,252
Neisseria Meningitidis,264
Campylobacter Coli,270
Veillonella Parvula,281
Actinomyces Odontolyticus,281
Streptococcus Parasanguinis,281
Raoultella Ornithinolytica,284
Micrococcus Luteus,291
Proteus Vulgaris,301
Streptococcus Constellatus,305
Acinetobacter Ursingii,310
Candida Krusei,313
Lactococcus Lactis,314
Lactobacillus Crispatus,326
Lactobacillus Gasseri,339
Acinetobacter Baumannii,350
Corynebacterium Tuberculostearicum,353
Lactobacillus Rhamnosus,353
Staphylococcus Simulans,360
Bacillus Cereus,364
Providencia Stuartii,377
Aspergillus Fumigatus,377
Serratia Liquefaciens,383
Haemophilus Parainfluenzae,384
Moraxella Catarrhalis,420
Rothia Mucilaginosa,434
Enterobacter Bugandensis,450
Providencia Rettgeri,465
Streptococcus Salivarius,475
Citrobacter Amalonaticus,495
Streptococcus Mitis,523
Klebsiella Variicola,583
Parvimonas Micra,598
Streptococcus Oralis,614
Corynebacterium Coyleae,620
Finegoldia Magna,624
Corynebacterium Aurimucosum,637
Streptococcus Pneumoniae,679
Staphylococcus Saprophyticus,713
Salmonella Sp,731
Corynebacterium Amycolatum,759
Staphylococcus Capitis,785
Aerococcus Urinae,799
Bacteroides Fragilis,810
Clostridioides Difficile,814
Streptococcus Pyogenes,912
Hafnia Alvei,1021
Citrobacter Koseri,1054
Neisseria Gonorrhoeae,1092
Haemophilus Influenzae,1107
Staphylococcus Lugdunensis,1121
Streptococcus Anginosus,1136
Corynebacterium Striatum,1242
Candida Tropicalis,1306
Streptococcus Gallolyticus,1325
Enterobacter Cloacae,1392
Enterococcus Faecium,1442
Cutibacterium Acnes,1521
Campylobacter Jejuni,1711
Klebsiella Aerogenes,1740
Stenotrophomonas Maltophilia,2166
Candida Glabrata,2197
Serratia Marcescens,2571
Candida Parapsilosis,2618
Staphylococcus Hominis,2625
Klebsiella Oxytoca,2916
Staphylococcus Haemolyticus,3045
Morganella Morganii,3728
Streptococcus Agalactiae,4416
Citrobacter Freundii,4663
Candida Albicans,7105
Proteus Mirabilis,7932
Pseudomonas Aeruginosa,12231
Staphylococcus Epidermidis,15292
Klebsiella Pneumoniae,15559
Staphylococcus Aureus,15757
Enterococcus Faecalis,19405
Escherichia Coli,19769
